age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41,management,married,secondary,no,0,no,yes,cellular,7,7,630,3,-1,0,unknown,no
32,technician,single,tertiary,no,360,no,no,cellular,19,11,164,2,-1,0,unknown,no
37,management,married,tertiary,no,0,no,no,cellular,16,7,268,2,182,3,success,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,5,380,1,-1,0,unknown,no
31,management,single,tertiary,no,6248,yes,no,unknown,9,5,154,2,-1,0,unknown,no
41,services,married,tertiary,no,412,yes,no,unknown,3,6,154,5,-1,0,unknown,no
56,retired,married,secondary,no,344,yes,no,unknown,15,5,221,1,-1,0,unknown,no
54,management,divorced,tertiary,no,3222,no,no,cellular,14,8,67,2,-1,0,unknown,no
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,5,367,2,297,1,other,no
40,technician,single,secondary,no,591,no,yes,cellular,14,8,87,6,-1,0,unknown,no
50,blue-collar,divorced,primary,no,388,no,no,cellular,5,2,701,1,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,cellular,17,11,204,2,196,1,failure,no
27,admin.,divorced,secondary,no,451,yes,no,cellular,16,7,652,1,-1,0,unknown,yes
60,retired,married,primary,no,5,no,no,cellular,26,8,63,2,-1,0,unknown,no
28,admin.,single,secondary,no,177,yes,yes,cellular,6,5,150,1,-1,0,unknown,no
52,services,married,secondary,no,657,no,no,telephone,7,7,398,2,460,2,failure,yes
37,management,married,tertiary,no,1315,no,no,cellular,30,6,224,1,-1,0,unknown,yes
51,blue-collar,married,primary,no,1466,yes,no,unknown,7,5,406,2,-1,0,unknown,no
41,technician,single,secondary,no,879,no,yes,cellular,7,7,60,4,-1,0,unknown,no
35,blue-collar,single,primary,no,293,yes,no,unknown,30,5,521,2,-1,0,unknown,no
38,admin.,married,secondary,no,424,yes,no,cellular,17,4,279,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,5,203,2,-1,0,unknown,no
39,blue-collar,married,primary,no,111,no,no,cellular,18,11,201,2,-1,0,unknown,no
34,blue-collar,married,primary,no,455,yes,no,unknown,20,6,372,3,-1,0,unknown,no
27,services,single,secondary,no,-195,yes,no,cellular,18,5,391,1,-1,0,unknown,yes
32,management,single,tertiary,no,3616,no,no,cellular,14,8,165,2,-1,0,unknown,no
57,blue-collar,married,secondary,no,14093,no,no,cellular,11,8,231,5,-1,0,unknown,no
41,unknown,single,tertiary,no,1567,no,no,cellular,1,7,291,2,-1,0,unknown,no
41,admin.,married,tertiary,no,5426,yes,no,unknown,14,5,149,2,-1,0,unknown,no
30,admin.,single,tertiary,no,261,no,no,cellular,19,10,233,1,137,20,failure,no
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,2,473,1,182,1,success,no
31,unemployed,single,primary,no,406,no,no,cellular,4,2,736,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,0,yes,no,unknown,6,5,337,1,-1,0,unknown,no
38,management,single,tertiary,no,493,yes,no,cellular,11,5,553,1,367,7,failure,no
49,technician,married,secondary,no,5996,no,no,telephone,21,11,345,2,-1,0,unknown,no
57,services,single,primary,no,3777,yes,no,telephone,13,5,65,2,-1,0,unknown,no
34,management,single,secondary,no,524,no,no,unknown,13,8,9,1,-1,0,unknown,no
32,management,single,tertiary,no,574,yes,no,cellular,14,4,259,2,145,3,failure,no
37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,6,371,3,-1,0,unknown,no
33,self-employed,married,tertiary,no,483,yes,no,cellular,3,2,280,2,-1,0,unknown,no
56,unemployed,married,primary,no,3391,no,no,cellular,21,4,243,1,-1,0,unknown,yes
27,housemaid,married,primary,no,0,yes,no,cellular,23,7,435,3,-1,0,unknown,no
21,student,single,secondary,no,2488,no,no,cellular,30,6,258,6,169,3,success,yes
58,management,married,tertiary,no,1517,yes,no,telephone,29,7,7,5,-1,0,unknown,no
32,self-employed,married,secondary,no,217,yes,yes,cellular,15,7,317,5,-1,0,unknown,no
33,blue-collar,single,secondary,no,22,no,no,cellular,30,1,76,2,207,1,failure,no
25,student,single,secondary,no,331,no,no,telephone,26,8,170,4,-1,0,unknown,yes
25,technician,single,secondary,no,505,no,yes,cellular,17,11,386,2,-1,0,unknown,yes
30,services,married,secondary,no,1808,yes,no,cellular,18,5,83,2,-1,0,unknown,no
22,admin.,single,secondary,no,4111,no,yes,cellular,19,8,65,1,-1,0,unknown,no
39,blue-collar,married,primary,no,52,no,no,cellular,13,8,69,1,-1,0,unknown,no
46,management,divorced,tertiary,no,25,no,no,unknown,17,6,564,2,-1,0,unknown,no
31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,7,588,1,-1,0,unknown,no
45,blue-collar,married,primary,no,419,no,no,cellular,18,8,113,4,-1,0,unknown,no
32,technician,married,secondary,no,2693,yes,no,unknown,21,5,16,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,7,779,2,-1,0,unknown,no
51,management,single,tertiary,yes,-55,yes,no,cellular,11,5,281,2,266,6,failure,no
34,self-employed,single,tertiary,no,462,no,no,cellular,21,8,1877,3,-1,0,unknown,yes
24,unemployed,single,secondary,no,119,no,no,unknown,15,9,51,1,-1,0,unknown,no
45,technician,single,secondary,no,586,no,yes,cellular,28,7,32,3,-1,0,unknown,no
32,blue-collar,single,secondary,no,228,no,no,telephone,5,2,176,1,288,3,failure,no
77,retired,divorced,tertiary,no,4659,no,no,cellular,14,4,161,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,168,yes,no,cellular,18,11,187,3,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,26,5,24,1,-1,0,unknown,no
43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,5,67,3,-1,0,unknown,no
48,admin.,married,unknown,no,0,yes,no,cellular,8,5,85,1,168,2,failure,no
27,technician,single,secondary,no,769,yes,no,unknown,9,5,317,2,-1,0,unknown,no
33,management,single,tertiary,no,0,no,no,cellular,28,8,236,10,-1,0,unknown,no
29,admin.,single,secondary,no,428,yes,yes,cellular,7,5,54,1,345,2,failure,no
34,management,single,tertiary,no,0,no,no,cellular,5,2,71,1,-1,0,unknown,no
52,management,married,tertiary,no,-970,yes,no,cellular,4,2,489,1,-1,0,unknown,yes
60,management,married,unknown,no,6313,no,no,unknown,19,6,39,2,-1,0,unknown,no
32,management,divorced,tertiary,no,948,no,no,cellular,12,8,204,2,-1,0,unknown,no
32,management,single,tertiary,no,0,yes,no,cellular,22,7,455,2,-1,0,unknown,no
56,services,divorced,unknown,no,1877,yes,no,unknown,30,5,86,1,-1,0,unknown,no
31,management,single,tertiary,no,874,yes,no,cellular,18,11,190,2,-1,0,unknown,no
42,admin.,married,secondary,no,323,yes,yes,unknown,8,5,280,2,-1,0,unknown,no
35,management,married,tertiary,no,106,no,yes,cellular,11,8,588,2,-1,0,unknown,no
56,retired,married,primary,no,1906,no,yes,unknown,19,6,45,9,-1,0,unknown,no
48,technician,married,secondary,no,1152,yes,no,cellular,21,7,168,5,-1,0,unknown,no
46,admin.,married,secondary,no,179,yes,no,cellular,29,1,194,4,436,1,other,no
37,technician,single,unknown,no,391,yes,no,unknown,8,5,103,3,-1,0,unknown,no
41,entrepreneur,married,unknown,no,89,yes,no,unknown,6,5,333,2,-1,0,unknown,no
36,management,single,tertiary,no,442,yes,yes,cellular,29,7,102,3,-1,0,unknown,no
45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,7,92,1,-1,0,unknown,no
55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,2,213,2,-1,0,unknown,no
39,technician,married,secondary,no,501,no,no,unknown,26,5,289,1,-1,0,unknown,no
35,technician,divorced,secondary,no,308,no,no,cellular,22,8,77,2,-1,0,unknown,no
55,admin.,married,secondary,no,602,no,no,cellular,1,6,324,3,90,2,success,yes
55,technician,married,secondary,no,273,yes,no,cellular,29,1,84,3,183,3,failure,no
27,self-employed,single,secondary,no,50,no,no,cellular,29,1,168,1,-1,0,unknown,no
34,technician,married,secondary,no,1641,yes,no,cellular,17,4,380,1,-1,0,unknown,no
34,blue-collar,married,tertiary,no,20,no,no,unknown,4,10,10,1,-1,0,unknown,no
25,admin.,single,secondary,no,4590,yes,no,unknown,28,5,199,2,-1,0,unknown,no
41,admin.,single,secondary,no,-256,no,yes,unknown,9,5,35,3,-1,0,unknown,no
43,services,married,secondary,no,978,yes,yes,unknown,26,5,82,2,-1,0,unknown,no
28,management,single,tertiary,no,80,no,no,cellular,20,10,676,2,146,2,failure,yes
31,admin.,single,secondary,no,2104,yes,no,unknown,3,6,455,1,-1,0,unknown,no
78,housemaid,married,secondary,no,499,no,no,telephone,16,3,80,4,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,1,549,2,-1,0,unknown,no
48,technician,married,tertiary,no,310,no,no,unknown,6,5,135,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,7,412,1,-1,0,unknown,no
42,technician,married,secondary,no,2980,no,no,unknown,20,6,101,3,-1,0,unknown,no
37,management,single,tertiary,no,37,no,no,cellular,28,1,253,2,-1,0,unknown,no
40,admin.,single,secondary,no,462,yes,yes,cellular,6,4,272,1,335,4,other,no
32,admin.,married,secondary,no,1031,yes,no,cellular,17,7,84,1,-1,0,unknown,no
42,management,married,tertiary,no,9009,no,no,cellular,20,11,135,2,-1,0,unknown,no
43,admin.,married,secondary,no,-465,yes,yes,cellular,23,7,166,1,-1,0,unknown,no
44,admin.,married,secondary,no,5181,yes,yes,cellular,31,7,18,7,-1,0,unknown,no
37,admin.,married,secondary,no,176,yes,no,cellular,5,5,147,2,347,1,failure,no
37,unknown,married,unknown,no,1699,no,no,unknown,9,6,63,1,-1,0,unknown,no
37,admin.,married,tertiary,no,0,yes,no,cellular,17,11,65,2,119,1,failure,no
28,technician,single,tertiary,no,172,yes,yes,cellular,2,2,194,2,-1,0,unknown,no
32,services,single,secondary,no,0,no,yes,cellular,11,7,333,2,-1,0,unknown,no
34,admin.,single,secondary,no,6979,yes,no,cellular,15,5,14,5,-1,0,unknown,no
40,admin.,divorced,secondary,no,6,no,no,unknown,11,6,140,1,-1,0,unknown,no
34,services,married,secondary,no,-62,yes,no,unknown,16,6,109,3,-1,0,unknown,no
34,self-employed,married,tertiary,no,1972,yes,no,cellular,23,7,61,2,-1,0,unknown,no
34,admin.,married,tertiary,no,899,yes,no,telephone,19,11,377,3,7,4,success,no
37,services,single,secondary,no,21,yes,no,cellular,2,2,96,1,271,2,other,no
36,technician,married,secondary,no,23,yes,no,cellular,8,5,152,2,347,1,failure,no
56,retired,married,secondary,no,-1206,yes,no,cellular,15,6,382,2,-1,0,unknown,yes
49,blue-collar,married,primary,no,0,yes,yes,telephone,23,7,97,6,-1,0,unknown,no
33,self-employed,married,secondary,no,215,yes,no,cellular,29,7,543,12,-1,0,unknown,no
30,management,single,tertiary,no,1372,no,no,cellular,20,11,240,2,-1,0,unknown,no
36,services,married,secondary,no,1981,no,no,unknown,17,6,48,2,-1,0,unknown,no
23,student,single,secondary,no,9216,no,no,cellular,5,6,471,2,-1,0,unknown,no
57,retired,divorced,secondary,no,39,yes,no,cellular,30,7,354,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,5,435,2,-1,0,unknown,no
38,services,married,secondary,no,1,no,yes,cellular,21,11,152,2,-1,0,unknown,no
42,technician,married,tertiary,no,782,no,no,cellular,3,4,285,1,-1,0,unknown,no
75,retired,married,secondary,no,3771,no,no,telephone,15,4,185,1,181,2,success,yes
34,technician,single,tertiary,no,992,yes,no,cellular,4,5,301,1,88,2,success,no
48,technician,married,secondary,no,1526,no,no,cellular,6,8,273,2,-1,0,unknown,no
35,technician,single,tertiary,no,2658,yes,no,cellular,19,8,768,2,141,3,failure,yes
39,management,divorced,tertiary,no,1315,yes,no,cellular,19,11,1337,4,126,1,failure,no
29,blue-collar,single,tertiary,no,455,no,no,telephone,21,4,403,1,-1,0,unknown,yes
45,technician,single,tertiary,no,0,yes,no,cellular,18,11,139,2,-1,0,unknown,no
42,technician,married,secondary,no,2030,yes,yes,cellular,9,7,196,1,-1,0,unknown,no
29,technician,married,secondary,no,1599,yes,no,cellular,8,7,115,1,61,1,failure,no
38,services,single,secondary,no,-196,yes,no,cellular,2,2,60,1,271,1,failure,no
56,retired,married,secondary,no,1333,no,no,cellular,28,8,17,14,-1,0,unknown,no
36,technician,single,secondary,no,9149,yes,no,cellular,13,8,141,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,-350,yes,no,unknown,23,6,95,3,-1,0,unknown,no
38,technician,married,tertiary,no,432,yes,no,cellular,15,5,10,2,373,1,other,no
57,self-employed,married,secondary,no,11494,no,no,cellular,19,11,198,1,-1,0,unknown,no
31,management,married,tertiary,yes,-253,no,no,cellular,12,8,220,4,-1,0,unknown,no
42,management,married,tertiary,no,372,yes,no,cellular,3,8,654,2,-1,0,unknown,yes
45,technician,married,secondary,no,1410,no,no,cellular,11,8,71,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,5,256,2,351,2,failure,no
49,blue-collar,married,primary,no,305,yes,yes,telephone,10,7,834,10,-1,0,unknown,no
49,services,married,secondary,no,400,no,no,cellular,21,8,151,3,-1,0,unknown,no
53,retired,married,tertiary,no,-22,yes,no,cellular,31,7,20,3,-1,0,unknown,no
37,technician,married,secondary,no,4030,yes,no,unknown,26,5,178,5,-1,0,unknown,no
49,blue-collar,married,primary,no,365,no,no,unknown,26,5,59,2,-1,0,unknown,no
41,self-employed,married,primary,no,204,no,no,cellular,13,8,111,7,-1,0,unknown,no
54,management,married,primary,no,1691,yes,no,cellular,20,11,186,1,-1,0,unknown,no
32,services,single,secondary,no,406,yes,no,unknown,6,5,227,1,-1,0,unknown,no
33,technician,married,secondary,no,-204,no,no,cellular,15,5,297,3,-1,0,unknown,no
33,technician,married,secondary,no,359,yes,no,cellular,20,4,210,1,242,1,other,no
36,blue-collar,married,primary,no,123,yes,no,cellular,18,5,9,1,-1,0,unknown,no
35,technician,married,tertiary,no,0,yes,yes,cellular,23,9,112,1,62,6,other,no
52,unknown,married,secondary,no,142,no,no,cellular,25,8,112,6,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,6,222,3,-1,0,unknown,no
44,technician,single,secondary,no,33,yes,no,cellular,13,5,195,3,351,10,failure,no
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,7,768,2,91,5,success,no
30,student,single,secondary,no,3096,no,no,cellular,26,1,123,1,-1,0,unknown,no
48,technician,divorced,secondary,yes,20,no,no,cellular,27,8,145,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,4,124,1,308,2,other,no
57,technician,married,unknown,no,206,yes,no,unknown,5,5,216,3,-1,0,unknown,no
57,housemaid,married,primary,no,7082,no,no,unknown,6,6,69,3,-1,0,unknown,no
51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,7,168,4,-1,0,unknown,no
34,admin.,single,secondary,no,1,yes,no,cellular,22,7,483,7,-1,0,unknown,no
50,self-employed,married,tertiary,no,4012,no,no,cellular,19,11,690,3,-1,0,unknown,no
44,management,married,tertiary,no,3762,no,no,cellular,28,8,125,12,-1,0,unknown,no
27,admin.,married,secondary,no,-247,yes,yes,unknown,4,6,344,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,606,yes,no,unknown,14,5,673,2,-1,0,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,28,1,60,1,250,1,other,no
42,management,married,secondary,no,-189,yes,no,unknown,12,5,247,2,-1,0,unknown,no
32,unemployed,single,secondary,no,0,no,no,cellular,27,5,123,2,-1,0,unknown,no
42,management,married,tertiary,no,484,yes,no,cellular,11,7,144,2,-1,0,unknown,no
43,technician,married,secondary,no,0,no,yes,cellular,8,5,9,2,172,5,failure,no
31,management,married,tertiary,no,395,yes,no,cellular,9,2,155,3,-1,0,unknown,no
32,management,married,tertiary,no,2349,no,no,cellular,14,8,134,5,-1,0,unknown,no
55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,7,221,2,-1,0,unknown,no
58,retired,married,primary,no,3401,yes,no,cellular,3,2,84,3,265,2,failure,no
46,blue-collar,married,primary,no,222,no,no,cellular,8,8,71,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,5,246,4,-1,0,unknown,no
34,management,married,tertiary,no,415,no,yes,cellular,23,7,361,2,-1,0,unknown,no
28,unemployed,single,secondary,no,16,no,no,cellular,12,8,119,4,-1,0,unknown,no
42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,7,375,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,482,no,yes,cellular,10,7,1097,3,-1,0,unknown,yes
54,housemaid,married,secondary,no,209,yes,yes,cellular,25,7,97,1,-1,0,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,26,8,181,2,-1,0,unknown,no
39,technician,single,tertiary,no,5803,no,no,cellular,2,2,83,3,-1,0,unknown,no
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,7,180,4,-1,0,unknown,no
58,technician,married,tertiary,no,883,no,no,cellular,18,8,543,1,78,2,failure,no
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,5,373,1,-1,0,unknown,no
29,student,single,secondary,no,872,yes,no,unknown,7,5,230,1,-1,0,unknown,no
33,technician,married,tertiary,no,-988,yes,yes,cellular,15,7,83,3,-1,0,unknown,no
38,admin.,single,secondary,no,902,yes,no,telephone,31,7,58,13,-1,0,unknown,no
56,services,divorced,secondary,no,1007,no,no,cellular,29,7,88,6,-1,0,unknown,no
40,services,married,secondary,no,0,yes,no,cellular,2,6,297,1,28,3,failure,no
24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,5,487,1,-1,0,unknown,yes
46,management,married,secondary,no,12186,no,no,unknown,20,6,29,3,-1,0,unknown,no
35,self-employed,married,secondary,no,524,yes,no,cellular,21,11,484,4,-1,0,unknown,no
35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,7,262,4,-1,0,unknown,no
34,technician,married,secondary,no,4,yes,no,unknown,15,5,644,1,-1,0,unknown,no
35,housemaid,married,tertiary,no,11219,no,no,cellular,12,8,699,2,79,1,failure,no
38,technician,single,tertiary,no,0,no,no,cellular,28,8,247,2,-1,0,unknown,no
50,blue-collar,married,primary,no,5776,no,no,cellular,18,11,49,3,-1,0,unknown,no
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,5,341,1,-1,0,unknown,no
59,self-employed,married,tertiary,no,593,no,no,unknown,13,5,64,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,4,121,1,-1,0,unknown,no
37,blue-collar,single,secondary,no,3561,yes,no,unknown,2,6,98,1,-1,0,unknown,no
42,admin.,divorced,secondary,no,63,no,no,unknown,16,5,88,6,-1,0,unknown,no
40,student,married,secondary,no,260,no,no,unknown,20,6,197,6,-1,0,unknown,no
28,technician,single,tertiary,no,2269,yes,no,unknown,9,5,331,1,-1,0,unknown,no
47,admin.,married,secondary,no,1060,yes,no,unknown,6,6,83,3,-1,0,unknown,no
27,self-employed,married,secondary,no,-220,yes,no,unknown,26,5,138,2,-1,0,unknown,no
41,management,married,tertiary,no,49,yes,no,cellular,17,7,312,5,-1,0,unknown,no
34,admin.,married,tertiary,no,69,no,yes,cellular,4,8,120,3,1,6,success,yes
50,blue-collar,married,primary,no,4108,yes,no,cellular,7,8,526,2,-1,0,unknown,yes
47,blue-collar,married,secondary,no,480,yes,no,unknown,28,5,211,2,-1,0,unknown,no
53,services,married,secondary,no,4994,no,no,cellular,18,8,62,6,-1,0,unknown,no
53,technician,divorced,secondary,no,0,yes,yes,cellular,15,7,135,5,-1,0,unknown,no
47,management,married,tertiary,no,3681,no,no,cellular,14,8,101,2,-1,0,unknown,no
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,7,988,2,-1,0,unknown,yes
29,management,married,tertiary,no,451,no,no,cellular,28,1,451,1,-1,0,unknown,no
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,5,1030,1,-1,0,unknown,yes
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,7,1484,24,-1,0,unknown,yes
32,blue-collar,married,secondary,no,759,yes,no,cellular,9,4,317,5,-1,0,unknown,yes
70,retired,divorced,primary,no,4531,no,no,cellular,18,5,445,1,-1,0,unknown,no
65,retired,divorced,primary,no,1840,no,no,cellular,1,6,383,2,188,5,failure,no
56,blue-collar,married,secondary,no,345,yes,no,telephone,22,7,605,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,7,330,2,-1,0,unknown,no
56,management,married,unknown,no,353,no,yes,cellular,25,7,171,2,-1,0,unknown,no
56,technician,married,secondary,no,205,no,yes,cellular,23,7,442,2,-1,0,unknown,no
49,entrepreneur,married,secondary,no,687,yes,no,cellular,17,4,772,1,-1,0,unknown,yes
38,unemployed,married,primary,no,1147,yes,yes,unknown,8,5,249,5,-1,0,unknown,no
35,management,married,tertiary,no,4286,yes,no,unknown,9,5,357,1,-1,0,unknown,no
38,admin.,married,tertiary,no,605,no,no,cellular,18,11,147,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,8545,yes,yes,cellular,6,5,199,7,167,1,failure,no
55,management,married,unknown,no,559,no,no,cellular,28,1,271,2,-1,0,unknown,no
43,blue-collar,single,primary,no,2,yes,no,cellular,30,7,783,3,-1,0,unknown,no
43,management,married,tertiary,no,2,no,yes,cellular,20,8,472,2,-1,0,unknown,no
25,admin.,single,tertiary,no,760,yes,no,cellular,27,5,223,3,89,2,failure,yes
